690		PODNIG	Podiceps nigricollis	Mustakaulauikku	Svarthalsad dopping	Black-necked Grebe
700		Lahko	Otidiformes	Trappilinnut				
710		OTITAR	Otis tarda	Isotrappi	Stortrapp	Great Bustard
720		CHLMAC	Chlamydotis macqueenii	Idänkaulustrappi	Kragtrapp	Asian Houbara
730		TETTET	Tetrax tetrax	Pikkutrappi	Småtrapp	Little Bustard
740		Lahko	Cuculiformes	Käkilinnut				
750		CLAGLA	Clamator glandarius	Harakkakäki	Skatgök	Great Spotted Cuckoo
760		CUCCAN	Cuculus canorus	Käki	Gök	Common Cuckoo
770		CUCOPT	Cuculus optatus	Idänkäki	Tajgagök	Oriental Cuckoo
780		Lahko	Pteroclidiformes	Hietakanalinnut				
790		SYRPAR	Syrrhaptes paradoxus	Arokyyhky	Stäppflyghöna	Pallas's Sandgrouse
800		Lahko	Columbiformes	Kyyhkylinnut				
810		STRORI	Streptopelia orientalis	Idänturturikyyhky	Större turturduva	Oriental Turtle Dove
820		STRTUR	Streptopelia turtur	Turturikyyhky	Turturduva	European Turtle Dove
830		STRDEC	Streptopelia decaocto	Turkinkyyhky	Turkduva	Eurasian Collared Dove
840		COLPAL	Columba palumbus	Sepelkyyhky	Ringduva	Common Wood Pigeon
850		COLLIV	Columba livia	Kesykyyhky	Tamduva	Feral Pigeon
860		COLOEN	Columba oenas	Uuttukyyhky	Skogsduva	Stock Dove
870		Lahko	Gruiformes	Kurkilinnut				
880		ANTCAN	Antigone canadensis	Hietakurki	Prärietrana	Sandhill Crane
890		GRUVIR	Grus virgo	Neitokurki	Jungfrutrana	Demoiselle Crane
900		GRUGRU	Grus grus	Kurki	Trana	Common Crane
910		RALAQU	Rallus aquaticus	Luhtakana	Vattenrall	Water Rail
920		CRECRE	Crex crex	Ruisrääkkä	Kornknarr	Corn Crake
930		PORPOR	Porzana porzana	Luhtahuitti	Småfläckig sumphöna	Spotted Crake
940		GALCHL	Gallinula chloropus	Liejukana	Rörhöna	Common Moorhen
950		FULATR	Fulica atra	Nokikana	Sothöna	Eurasian Coot
960		PORALL	Porphyrio alleni	Kurnuliejukana	Mindre sultanhöna	Allen's Gallinule
970		ZAPPAR	Zapornia parva	Pikkuhuitti	Mindre sumphöna	Little Crake
980		ZAPPUS	Zapornia pusilla	Kääpiöhuitti	Dvärgsumphöna	Baillon's Crake
990		Lahko	Charadriiformes	Rantalinnut				
1000		BUROED	Burhinus oedicnemus	Paksujalka	Tjockfot	Eurasian Stone-curlew
1010		RECAVO	Recurvirostra avosetta	Avosetti	Skärfläcka	Pied Avocet
1020		HIMHIM	Himantopus himantopus	Pitkäjalka	Styltlöpare	Black-winged Stilt
1030		HAEOST	Haematopus ostralegus	Meriharakka	Strandskata	Eurasian Oystercatcher
1040		PLUSQU	Pluvialis squatarola	Tundrakurmitsa	Kustpipare	Grey Plover
1050		PLUAPR	Pluvialis apricaria	Kapustarinta	Ljungpipare	European Golden Plover
1060		PLUDOM	Pluvialis dominica	Amerikankurmitsa	Amerikansk tundrapipare	American Golden Plover
1070		PLUFUL	Pluvialis fulva	Siperiankurmitsa	Sibirisk tundrapipare	Pacific Golden Plover
1080		EUDMOR	Eudromias morinellus	Keräkurmitsa	Fjällpipare	Eurasian Dotterel
1090		CHAHIA	Charadrius hiaticula	Tylli	Större strandpipare	Common Ringed Plover
1100		THIDUB	Thinornis dubius	Pikkutylli	Mindre strandpipare	Little Ringed Plover
1110		VANVAN	Vanellus vanellus	Töyhtöhyyppä	Tofsvipa	Northern Lapwing
1120		VANGRE	Vanellus gregarius	Arohyyppä	Stäppvipa	Sociable Lapwing
1130		VANLEU	Vanellus leucurus	Suohyyppä	Sumpvipa	White-tailed Lapwing
1140		ANAASI	Anarhynchus asiaticus	Kaspiantylli	Kaspisk pipare	Caspian Plover
1150		ANAVER	Anarhynchus veredus	Gobintylli	Orientpipare	Oriental Plover
1160		ANAATR	Anarhynchus atrifrons	Ylänkötylli	Tibetpipare	Tibetan Sand Plover
1170		ANALES	Anarhynchus leschenaultii	Aavikkotylli	Ökenpipare	Greater Sand Plover
1180		ANAALE	Anarhynchus alexandrinus	Mustajalkatylli	Svartbent strandpipare	Kentish Plover
1190		BARLON	Bartramia longicauda	Preeriakahlaaja	Piparsnäppa	Upland Sandpiper
1200		NUMMIN	Numenius minutus	Taigakuovi	Dvärgspov	Little Curlew
1210		NUMPHA	Numenius phaeopus	Pikkukuovi	Småspov	Eurasian Whimbrel
1220		NUMARQ	Numenius arquata	Kuovi	Storspov	Eurasian Curlew
1230		LIMLAP	Limosa lapponica	Punakuiri	Myrspov	Bar-tailed Godwit
1240		LIMLIM	Limosa limosa	Mustapyrstökuiri	Rödspov	Black-tailed Godwit
1250		LIMSCO	Limnodromus scolopaceus	Tundrakurppelo	Större beckasinsnäppa	Long-billed Dowitcher
1260		LYMMIN	Lymnocryptes minimus	Jänkäkurppa	Dvärgbeckasin	Jack Snipe
1270		SCORUS	Scolopax rusticola	Lehtokurppa	Morkulla	Eurasian Woodcock
1280		GALMED	Gallinago media	Heinäkurppa	Dubbelbeckasin	Great Snipe
1290		GALMEG	Gallinago megala	Siperiankurppa	Tajgabeckasin	Swinhoe's Snipe
1300		GALDEL	Gallinago delicata	Amerikantaivaanvuohi	Amerikansk beckasin	Wilson's Snipe
1310		GALGAL	Gallinago gallinago	Taivaanvuohi	Enkelbeckasin	Common Snipe
1320		XENCIN	Xenus cinereus	Rantakurvi	Tereksnäppa	Terek Sandpiper
1330		ACTHYP	Actitis hypoleucos	Rantasipi	Drillsnäppa	Common Sandpiper
1340		ACTMAC	Actitis macularius	Amerikansipi	Fläckdrillsnäppa	Spotted Sandpiper
1350		PHATRI	Phalaropus tricolor	Amerikanvesipääsky	Präriesimsnäppa	Wilson's Phalarope
1360		PHAFUL	Phalaropus fulicarius	Isovesipääsky	Brednäbbad simsnäppa	Red Phalarope
1370		PHALOB	Phalaropus lobatus	Vesipääsky	Smalnäbbad simsnäppa	Red-necked Phalarope
1380		TRIOCH	Tringa ochropus	Metsäviklo	Skogssnäppa	Green Sandpiper
1390		TRISTA	Tringa stagnatilis	Lampiviklo	Dammsnäppa	Marsh Sandpiper
1400		TRIGLA	Tringa glareola	Liro	Grönbena	Wood Sandpiper
1410		TRITOT	Tringa totanus	Punajalkaviklo	Rödbena	Common Redshank
1420		TRIFLA	Tringa flavipes	Keltajalkaviklo	Mindre gulbena	Lesser Yellowlegs
1430		TRISEM	Tringa semipalmata	Preeriaviklo	Willet	Willet
1440		TRIERY	Tringa erythropus	Mustaviklo	Svartsnäppa	Spotted Redshank
1450		TRINEB	Tringa nebularia	Valkoviklo	Gluttsnäppa	Common Greenshank
1460		AREINT	Arenaria interpres	Karikukko	Roskarl	Ruddy Turnstone
1470		CALCAN	Calidris canutus	Isosirri	Kustsnäppa	Red Knot
1480		CALPUG	Calidris pugnax	Suokukko	Brushane	Ruff
1490		CALACU	Calidris acuminata	Suippopyrstösirri	Spetsstjärtad snäppa	Sharp-tailed Sandpiper
1500		CALFAL	Calidris falcinellus	Jänkäsirriäinen	Myrsnäppa	Broad-billed Sandpiper
1510		CALFER	Calidris ferruginea	Kuovisirri	Spovsnäppa	Curlew Sandpiper
1520		CALHIM	Calidris himantopus	Pitkäkoipisirri	Styltsnäppa	Stilt Sandpiper
1530		CALRUF	Calidris ruficollis	Rusokaulasirri	Rödhalsad snäppa	Red-necked Stint
1540		CALTEM	Calidris temminckii	Lapinsirri	Mosnäppa	Temminck's Stint
1550		CALSMI	Calidris subminuta	Siperiansirri	Långtåsnäppa	Long-toed Stint
1560		CALSRU	Calidris subruficollis	Tundravikla	Prärielöpare	Buff-breasted Sandpiper
1570		CALALB	Calidris alba	Pulmussirri	Sandlöpare	Sanderling
1580		CALALP	Calidris alpina	Suosirri	Kärrsnäppa	Dunlin
1590		CALMAR	Calidris maritima	Merisirri	Skärsnäppa	Purple Sandpiper
1600		CALBAI	Calidris bairdii	Eskimosirri	Gulbröstad snäppa	Baird's Sandpiper
1610		CALMEL	Calidris melanotos	Palsasirri	Tuvsnäppa	Pectoral Sandpiper
1620		CALMIN	Calidris minuta	Pikkusirri	Småsnäppa	Little Stint
1630		CALLLA	Calidris minutilla	Amerikansirri	Dvärgsnäppa	Least Sandpiper
1640		CALFUS	Calidris fuscicollis	Valkoperäsirri	Vitgumpsnäppa	White-rumped Sandpiper
1650		CURSOR	Cursorius cursor	Aavikkojuoksija	Ökenlöpare	Cream-colored Courser
1660		GLAMAL	Glareola maldivarum	Aasianpääskykahlaaja	Orientvadarsvala	Oriental Pratincole
1670		GLANOR	Glareola nordmanni	Aropääskykahlaaja	Svartvingad vadarsvala	Black-winged Pratincole
1680		GLAPRA	Glareola pratincola	Pääskykahlaaja	Rödvingad vadarsvala	Collared Pratincole
1690		STECUS	Stercorarius parasiticus	Merikihu	Kustlabb	Parasitic Jaeger
1700		STELON	Stercorarius longicaudus	Tunturikihu	Fjällabb	Long-tailed Jaeger
1710		STEPOM	Stercorarius pomarinus	Leveäpyrstökihu	Bredstjärtad labb	Pomarine Jaeger
